"","iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","X....","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
"953",70,5,1,10,1,3,10,6,NA,5,5,60,0,0.45,0,29,6,5,20,25,15,15,20,0,6,10,10,8,8,8,6,2,2,26,"MBA",8,"","","",2,5,1,"Boston, MA","53,705","32,159.00",5,2,1,"Investment Banking",7,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3,2,25,10,20,20,15,10,NA,NA,NA,NA,NA,NA,20,5,25,30,15,5,8,6,8,9,6,NA,NA,NA,NA,NA,0,6,6,6,8,6,5,7,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5214",351,11,0,21,2,14,18,11,11,7,10,370,0,0.15,0,28,2,50,10,10,10,10,10,0,3,7,7,1,6,1,2,3,2,35,"music education",9,"ucla","1,290.00","15,309.00",4,1,3,"Taiwan","90,504","",2,5,4,"music educator, performer",2,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,8,NA,15,15,30,15,15,10,30,10,10,30,10,10,30,10,10,30,10,10,8,10,7,8,9,8,8,8,8,8,1,9,8,8,7,7,9,7,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,NA,NA,NA,NA,NA,NA,15,20,20,15,15,15,30,10,10,30,10,10,30,10,10,30,10,10,6,9,9,9,9,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5104",345,5,0,9,2,14,18,17,17,13,8,368,1,0.32,0,24,6,20,10,25,20,10,15,1,7,8,8,8,7,7,7,7,2,24,"Nutrition",10,"Biological Sciences","","",2,7,6,"Brooklyn","11,235","25,401.00",2,7,4,"Nutritionist",4,5,1,10,6,5,5,3,4,8,9,6,7,7,8,9,6,9,6,NA,10,20,27,23,15,5,50,0,5,20,5,20,35,10,10,25,10,10,7,9,7,9,7,6,10,10,7,10,1,8,10,9,9,7,8,8,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,NA,NA,NA,NA,NA,NA,15,15,25,30,10,5,25,10,10,10,35,10,45,2,13,25,3,12,7,9,9,7,7,6,10,9,6,9,0,1,0,NA,NA,10,10,30,30,10,0,50,5,10,20,10,5,50,10,10,10,10,10,60,10,10,10,5,5,7,9,8,8,6,7,10,8,7,8
"5221",351,11,0,21,2,14,18,11,11,3,17,377,0,-0.4,1,26,4,25,20,10,20,15,10,0,8,8,8,5,8,4,5,3,2,35,"music education",9,"ucla","1,290.00","15,309.00",4,1,3,"Taiwan","90,504","",2,5,4,"music educator, performer",2,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,8,NA,15,15,30,15,15,10,30,10,10,30,10,10,30,10,10,30,10,10,8,10,7,8,9,8,8,8,8,8,0,5,6,7,5,7,8,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,NA,NA,NA,NA,NA,NA,15,20,20,15,15,15,30,10,10,30,10,10,30,10,10,30,10,10,6,9,9,9,9,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7210",488,8,1,16,2,19,15,5,14,8,4,469,0,0.31,1,25,4,20,10,20,20,10,20,1,4,7,6,6,5,7,7,7,2,29,"Business",8,"Delhi University","","",4,1,1,"India","10,027","",3,2,3,"Management Consulting",7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,NA,15,20,20,20,5,20,20,20,20,20,10,10,20,20,20,20,10,10,5,10,7,10,8,5,10,10,7,8,0,5,5,8,5,5,5,5,5,0,4,8,10,8,8,7,5,5,10,10,10,10,7,3,3,10,20,20,20,20,10,10,20,20,20,20,10,30,5,10,10,10,35,20,20,20,20,10,10,6,8,8,8,8,7,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5362",359,19,0,37,2,14,18,15,15,1,14,374,0,-0.07,0,30,4,50,10,10,10,5,15,0,5,7,5,5,4,3,5,5,2,26,"Communications in Education",6,"Hampshire College","1,250.00","26,871.00",2,1,5,"California","11,104","27,503.00",2,6,3,"reorganizing society. no, I am not being flip.",9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,NA,9,17,23,15,14,22,25,13,10,13,25,14,25,7,8,25,10,25,7,10,2,9,8,4,8,8,4,2,0,7,5,5,5,6,1,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,12,18,25,13,7,25,25,10,10,25,20,10,25,10,10,25,12,18,7,10,9,4,8,4,9,8,2,4,1,1,1,1,1,10,20,25,10,12,23,15,10,28,10,10,27,30,10,10,20,15,15,30,10,10,25,10,15,7,10,9,2,5,6,9,9,1,2
"80",8,8,0,15,1,1,10,10,NA,2,10,20,1,-0.21,1,24,2,100,0,0,0,0,0,1,8,10,9,9,8,8,8,8,2,25,"Masters in Public Administration",13,"","","",2,1,1,"London, England","0","",1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09,NA,NA,NA,NA,NA,NA,30,10,20,30,5,5,7,4,8,8,8,NA,NA,NA,NA,NA,1,7,6,8,7,9,8,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",145,4,0,7,2,7,16,14,14,12,3,160,0,-0.18,0,29,1,16,18,18,18,14,16,0,4,8,9,4,10,3,5,5,2,24,"Neuroscience",10,"","","",2,9,7,"Minnesota","55,379","38,774.00",2,7,1,"Neuroscientist/Professor",2,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5,NA,11.36,18.18,22.73,18.18,11.36,18.18,9,8,9,8,9,9,22.22,13.33,17.78,20,8.89,17.78,5,5,7,9,7,NA,NA,NA,NA,NA,0,8,10,7,10,7,5,7,5,0,2,14,20,20,18,14,14,7,8,10,7,7,5,3,3,NA,NA,NA,NA,NA,NA,15.69,17.65,19.61,15.69,15.69,15.69,8,8,8,9,9,8,20.41,14.29,16.33,18.37,14.29,16.33,7,7,9,7,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,15.09,16.98,18.87,16.98,15.09,16.98,NA,NA,NA,NA,NA,NA,9,8,7,8,9,9,10,7,8,9,7,NA,6,6,9,7,8,NA,NA,NA,NA,NA
"5576",370,10,1,20,2,14,20,12,12,8,12,352,0,0.16,0,29,6,20,20,20,10,10,20,1,9,7,8,8,7,8,9,7,2,28,"MBA",8,"Cornell","1,360.00","26,062.00",2,7,4,"New York","11,363","55,704.00",3,4,1,"Consulting",7,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,7,NA,50,10,10,10,10,10,50,10,10,10,10,10,30,10,20,10,20,10,8,6,9,9,9,8,6,9,9,9,0,3,8,7,1,5,1,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA,NA,50,5,15,10,15,5,40,10,10,5,15,10,40,10,10,10,20,10,8,7,8,9,10,8,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4304",286,14,1,28,2,11,21,16,16,3,20,271,0,-0.22,1,23,2,10,15,40,15,10,10,0,5,6,6,4,5,4,6,6,2,22,"Mathematics",2,"Queens College","1,100.00","11,360.00",2,4,7,"Russia","125,438","",1,6,3,"professor",2,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7,NA,10,15,25,15,15,20,20,10,15,15,15,25,15,15,20,15,20,15,3,6,6,7,7,3,5,8,5,6,1,8,NA,8,7,NA,NA,6,5,0,3,13,13,24,15,15,20,4,8,7,8,9,6,1,2,NA,NA,NA,NA,NA,NA,10,15,20,15,15,25,20,15,15,15,10,25,15,15,20,15,15,20,5,7,7,7,9,5,6,9,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
