"iid","gender","condtn","round","order","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","from","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","satis_2","length","numdat_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","total"
1,0,1,10,7,15,1,0.21,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,1,4,2,4,"Chicago",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,6,8,8,8,7,1,5,6,7,7,6,6,6,6,2,4,6,2,1,19.44,16.67,13.89,22.22,11.11,16.67,6,7,8,7,6,46
1,0,1,10,1,17,0,0.34,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,1,4,2,4,"Chicago",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,6,8,8,8,7,1,7,6,7,4,6,7,6,5,2,4,6,2,1,19.44,16.67,13.89,22.22,11.11,16.67,6,7,8,7,6,36
1,0,1,10,10,13,1,0.16,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,4,2,4,"Chicago",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,6,8,8,8,7,1,5,8,9,8,5,7,7,NA,1,4,6,2,1,19.44,16.67,13.89,22.22,11.11,16.67,6,7,8,7,6,60
1,0,1,10,9,20,0,-0.36,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,1,4,2,4,"Chicago",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,6,8,8,8,7,1,5,6,6,8,10,8,6,6,2,4,6,2,1,19.44,16.67,13.89,22.22,11.11,16.67,6,7,8,7,6,36
1,0,1,10,5,14,1,0.61,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,1,4,2,4,"Chicago",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,6,8,8,8,7,1,7,6,8,7,6,8,7,6,2,4,6,2,1,19.44,16.67,13.89,22.22,11.11,16.67,6,7,8,7,6,49
2,0,1,10,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,0,5,8,7,5,9,5,5,6,2,3,5,2,NA,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,40
2,0,1,10,2,16,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,0,8,7,8,3,6,2,6,5,2,3,5,2,NA,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,41
2,0,1,10,6,13,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,0,5,8,9,6,3,4,6,7,2,3,5,2,NA,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,60
2,0,1,10,1,14,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,1,7,9,7,6,5,7,7,8,2,3,5,2,NA,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,54
2,0,1,10,4,19,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,1,2,2,5,"Alabama",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,7,5,10,8,3,1,7,6,8,9,4,5,5,6,2,3,5,2,NA,18.92,18.92,21.62,27.03,5.41,8.11,7,6,8,9,4,47
