"iid","gender","condtn","round","order","pid","match","pf_o_sha","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","field_cd","race","from","career_c","shar1_1","attr","sinc","intel","fun","amb","shar","like","prob","match_es","shar1_2","attr3_2","cult","outside"
1,"0","1",10,7,15,"1",20,8,7,9,6,9,7,8,6,"1","4","east","1",15,5,6,7,7,6,6,6,6,4,16.67,6,7.42857142857143,2.66666666666667
1,"0","1",10,1,17,"0",10,3,6,7,5,8,7,2,1,"1","4","east","1",15,7,6,7,4,6,7,6,5,4,16.67,6,7.42857142857143,2.66666666666667
1,"0","1",10,10,13,"1",12,10,10,10,10,10,10,10,10,"1","4","east","1",15,5,8,9,8,5,7,7,6,4,16.67,6,7.42857142857143,2.66666666666667
1,"0","1",10,9,20,"0",0,6,6,6,6,6,6,6,6,"1","4","east","1",15,5,6,6,8,10,8,6,6,4,16.67,6,7.42857142857143,2.66666666666667
1,"0","1",10,5,14,"1",5,7,8,9,8,9,8,7,7,"1","4","east","1",15,7,6,8,7,6,8,7,6,4,16.67,6,7.42857142857143,2.66666666666667
2,"0","1",10,8,18,"0",22.2222222222222,7,7,7,7,7,5,7,6,"1","2","east","1",5,5,8,7,5,9,5,5,6,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,2,16,"0",10,7,8,7,5,7,7,7,5,"1","2","east","1",5,8,7,8,3,6,2,6,5,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,6,13,"0",12,10,10,10,10,10,10,10,10,"1","2","east","1",5,5,8,9,6,3,4,6,7,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,1,14,"1",5,9,9,9,9,9,9,9,7,"1","2","east","1",5,7,9,7,6,5,7,7,8,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,4,19,"1",15,8,6,9,9,8,7,8,8,"1","2","east","1",5,7,6,8,9,4,5,5,6,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,5,20,"0",0,6,5,7,7,9,7,6,9,"1","2","east","1",5,6,7,8,7,9,8,8,7,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,10,11,"0",5,8,7,6,9,7,4,7,2,"1","2","east","1",5,5,7,8,4,6,3,6,4,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,3,15,"0",20,10,10,10,10,7,8,10,1,"1","2","east","1",5,6,8,7,9,7,8,8,6,3,8.10918908109189,7,5.14285714285714,6.33333333333333
2,"0","1",10,7,17,"0",10,5,3,4,3,5,3,4,3,"1","2","east","1",5,7,5,9,6,7,9,8,7,3,8.10918908109189,7,5.14285714285714,6.33333333333333
3,"0","1",10,3,17,"0",10,6,3,5,4,5,4,2,2,"2","2","east","2",0,8,9,10,7,7,9,8,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,8,16,"0",10,7,6,6,6,6,6,6,7,"2","2","east","2",0,8,10,10,7,9,9,8,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,7,14,"0",5,7,9,8,8,8,8,7,7,"2","2","east","2",0,9,7,9,7,9,7,8,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,4,18,"0",22.2222222222222,4,5,6,4,6,4,5,1,"2","2","east","2",0,7,9,9,8,9,7,8,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,10,19,"0",15,7,7,6,8,7,7,7,7,"2","2","east","2",0,9,9,9,9,9,9,9,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,6,11,"0",5,7,8,6,5,8,4,5,2,"2","2","east","2",0,7,9,10,7,8,9,8,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,1,20,"0",0,5,6,8,5,8,6,5,5,"2","2","east","2",0,8,7,9,7,9,7,8,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,9,15,"0",20,6,10,8,6,0,0,6,1,"2","2","east","2",0,9,10,10,10,10,10,9,7,2,0,8,6.85714285714286,6.33333333333333
3,"0","1",10,2,13,"0",12,10,10,10,10,10,10,10,10,"2","2","east","2",0,7,9,9,7,9,7,8,7,2,0,8,6.85714285714286,6.33333333333333
4,"0","1",10,3,11,"0",5,6,7,8,7,7,5,6,3,"1","2","east","1",10,4,10,8,5,8,7,6,7,2,3.45,6,6.28571428571429,7
4,"0","1",10,8,20,"0",0,7,8,8,7,8,7,7,7,"1","2","east","1",10,8,9,10,10,8,8,10,8,2,3.45,6,6.28571428571429,7
4,"0","1",10,2,12,"0",0,6,5,10,6,6,5,6,3,"1","2","east","1",10,8,7,8,10,7,8,8,1,2,3.45,6,6.28571428571429,7
4,"0","1",10,6,15,"0",20,8,8,9,8,8,9,9,7,"1","2","east","1",10,6,9,8,9,8,9,7,7,2,3.45,6,6.28571428571429,7
4,"0","1",10,4,14,"1",5,7,7,7,9,9,9,8,10,"1","2","east","1",10,8,10,7,10,7,10,8,10,2,3.45,6,6.28571428571429,7
4,"0","1",10,7,19,"1",15,7,7,7,10,9,10,8,8,"1","2","east","1",10,9,8,10,10,7,8,8,8,2,3.45,6,6.28571428571429,7
4,"0","1",10,9,13,"0",12,10,10,10,10,10,10,10,10,"1","2","east","1",10,4,7,8,8,6,7,4,1,2,3.45,6,6.28571428571429,7
4,"0","1",10,5,16,"0",10,6,6,7,7,8,7,6,6,"1","2","east","1",10,5,10,8,4,8,2,4,3,2,3.45,6,6.28571428571429,7
4,"0","1",10,10,17,"0",10,7,6,3,5,6,5,6,4,"1","2","east","1",10,7,10,10,7,10,5,5,1,2,3.45,6,6.28571428571429,7
5,"0","1",10,10,12,"0",0,6,7,10,7,6,5,7,4,"1","2","east","1",15,8,6,6,5,5,5,6,4,2,21.05,6,6.57142857142857,5
5,"0","1",10,2,14,"1",5,6,8,6,8,10,10,7,7,"1","2","east","1",15,8,5,5,7,7,9,8,2,2,21.05,6,6.57142857142857,5
5,"0","1",10,5,19,"1",15,5,9,9,9,9,6,7,7,"1","2","east","1",15,7,5,7,8,7,9,9,4,2,21.05,6,6.57142857142857,5
5,"0","1",10,1,11,"0",5,6,8,8,8,7,6,6,5,"1","2","east","1",15,5,8,8,2,2,2,7,5,2,21.05,6,6.57142857142857,5
5,"0","1",10,7,13,"0",12,10,10,10,10,10,10,10,10,"1","2","east","1",15,4,6,8,8,6,5,6,5,2,21.05,6,6.57142857142857,5
5,"0","1",10,8,17,"0",10,2,3,4,4,5,3,3,3,"1","2","east","1",15,6,6,8,5,5,6,6,3,2,21.05,6,6.57142857142857,5
5,"0","1",10,6,20,"0",0,3,10,7,7,10,5,4,10,"1","2","east","1",15,9,6,7,9,6,5,10,3,2,21.05,6,6.57142857142857,5
6,"0","1",10,1,13,"0",12,10,10,10,10,10,10,10,10,"1","4","east","1",15,4,7,9,4,3,2,6,2,4,17.95,5,5,6
6,"0","1",10,10,20,"0",0,7,10,10,6,10,7,6,7,"1","4","east","1",15,8,9,9,9,10,7,9,8,4,17.95,5,5,6
6,"0","1",10,4,12,"0",0,6,8,10,6,7,6,7,4,"1","4","east","1",15,6,9,9,6,8,2,7,6,4,17.95,5,5,6
6,"0","1",10,8,15,"0",20,9,7,9,7,9,6,9,2,"1","4","east","1",15,5,4,8,8,4,2,4,3,4,17.95,5,5,6
6,"0","1",10,6,14,"1",5,6,8,8,7,9,8,7,7,"1","4","east","1",15,8,6,7,8,2,8,9,4,4,17.95,5,5,6
6,"0","1",10,5,11,"0",5,7,9,8,9,8,4,7,4,"1","4","east","1",15,6,9,7,6,7,6,6,6,4,17.95,5,5,6
7,"0","1",10,2,11,"0",5,7,8,8,8,7,7,7,4,"1","4","west","1",10,4,8,8,5,7,4,7,4,2,10,6,8.57142857142857,9.33333333333333
7,"0","1",10,8,13,"0",12,10,10,10,10,10,10,10,10,"1","4","west","1",10,3,6,8,7,8,8,7,8,2,10,6,8.57142857142857,9.33333333333333
7,"0","1",10,1,12,"0",0,7,9,10,6,6,5,8,4,"1","4","west","1",10,6,6,8,4,9,4,7,3,2,10,6,8.57142857142857,9.33333333333333
7,"0","1",10,4,16,"0",10,8,8,8,6,6,6,7,7,"1","4","west","1",10,4,8,7,4,5,4,5,5,2,10,6,8.57142857142857,9.33333333333333
7,"0","1",10,5,15,"0",20,8,7,9,6,9,5,8,4,"1","4","west","1",10,4,7,7,4,8,5,5,6,2,10,6,8.57142857142857,9.33333333333333
7,"0","1",10,9,17,"0",10,7,6,5,4,4,3,5,4,"1","4","west","1",10,7,7,8,7,7,7,8,7,2,10,6,8.57142857142857,9.33333333333333
8,"0","1",10,2,20,"1",0,8,10,9,9,8,8,8,8,"13","2","EU","6",9.09090909090909,7,6,8,7,9,8,8,7,2,9.09090909090909,7,7.28571428571429,7.66666666666667
8,"0","1",10,8,14,"1",5,8,8,8,8,8,7,8,7,"13","2","EU","6",9.09090909090909,8,6,5,6,6,5,5,6,2,9.09090909090909,7,7.28571428571429,7.66666666666667
8,"0","1",10,1,19,"1",15,8,7,8,10,8,10,8,8,"13","2","EU","6",9.09090909090909,8,8,5,9,8,9,7,10,2,9.09090909090909,7,7.28571428571429,7.66666666666667
8,"0","1",10,6,12,"1",0,8,8,10,7,6,5,9,4,"13","2","EU","6",9.09090909090909,8,7,7,9,6,7,8,7,2,9.09090909090909,7,7.28571428571429,7.66666666666667
8,"0","1",10,10,15,"1",20,9,9,8,9,0,7,9,7,"13","2","EU","6",9.09090909090909,6,8,8,5,6,7,6,5,2,9.09090909090909,7,7.28571428571429,7.66666666666667
8,"0","1",10,9,16,"1",10,8,7,7,7,8,7,7,6,"13","2","EU","6",9.09090909090909,6,8,8,5,6,7,6,5,2,9.09090909090909,7,7.28571428571429,7.66666666666667
8,"0","1",10,4,17,"0",10,6,4,7,5,6,4,4,4,"13","2","EU","6",9.09090909090909,6,7,8,5,7,7,6,6,2,9.09090909090909,7,7.28571428571429,7.66666666666667
9,"0","1",10,3,20,"0",0,5,6,6,6,6,6,6,6,"13","6","west","9",10,7,8,7,8,7,8,8,5,1,11.1111111111111,7,7.57142857142857,5.66666666666667
9,"0","1",10,6,18,"0",22.2222222222222,7,7,7,7,6,5,7,5,"13","6","west","9",10,6,7,8,7,9,6,7,5,1,11.1111111111111,7,7.57142857142857,5.66666666666667
9,"0","1",10,4,13,"1",12,10,10,10,10,10,10,10,10,"13","6","west","9",10,5,10,10,6,6,6,8,5,1,11.1111111111111,7,7.57142857142857,5.66666666666667
9,"0","1",10,8,11,"0",5,6,8,7,8,7,5,6,4,"13","6","west","9",10,8,10,9,8,7,6,5,5,1,11.1111111111111,7,7.57142857142857,5.66666666666667
9,"0","1",10,1,15,"1",20,7,9,8,9,7,7,7,8,"13","6","west","9",10,5,10,8,8,5,5,5,5,1,11.1111111111111,7,7.57142857142857,5.66666666666667
9,"0","1",10,9,14,"1",5,7,8,7,8,8,7,7,7,"13","6","west","9",10,10,9,8,8,7,7,7,5,1,11.1111111111111,7,7.57142857142857,5.66666666666667
10,"0","1",10,2,15,"0",20,6,9,9,7,8,0,6,6,"13","2","west","9",5,5,7,7,7,7,0,6,1,2,17.8617861786179,10,6.71428571428571,7
